公司名稱,職缺內容,工作內容,地址,工作經歷,學歷,薪資,網址
新加坡商晚安有限公司台灣分公司,資料數據分析師 Data analyst,"['Goodnight 2015 年底正式上線，Goodnight 致力於創造一個富有驚喜的交友體驗，希望專注在「聲音」而不是「照片」來認識新朋友。使用者能根據自己的喜好來配對，並和配對者進行語音聊天，一次7分鐘。', '', '在短短四年內，Goodnight 已成功打入五個市場，曾在許多國家榮登 Google Play 交友榜首，至今已有註冊用戶800萬人。以規模而言，目前已經是亞洲最大的聲音交友軟體。', '', 'Goodnight 深受年輕用戶的青睞。Goodnight 每天能產生40萬通配對電話，最高在線人數也曾超過1萬人，每三分鐘就能找到一個真人一對一電話聊天。', '', '團隊成員就像好朋友一樣，聰明工作、玩到壞掉，是我們的宗旨，來 Goodnight，你可以有機會執行所有你想嘗試的Idea，無論是產品端、行銷端，甚至還可以跨領域學習、跨國家操作，跟著大家一起指數成長，絕對讓你感受到幸福又充滿挑戰的工作環境。', '', '【職位需求】', '• 兩年以上資料分析經驗', '• 熟悉下列任一種分析語言 R/Python/SAS', '• 熟悉SQL 語言', '• 熟悉資料分析/建模流程', '', '【工作描述】', '• 與產品、設計團隊合作，分析產品功能有效性。', '• 與主管報告產品關鍵指標。', '• Data Team ETL 維運。', '•Data Team Server監控。', '', '【加分項目】', '• 有實際使用過AWS EC2/Google BigQuery。', '• 統計、機器學習、深度學習理論與應用結合。']",台北市中山區,2年以上,大學,"月薪40,000元以上",www.104.com.tw/job/750o4?jobsource=jolist_a_relevance
聽儷科技股份有限公司,Senior Data Analyst (資深數據分析師),"['論並協助其提出改善方案。', '•\t評估資料分析系統的更改和更新，在新報告和儀表板上對內部員工進行教育訓練。', '•\t其他主管交代事項', '', 'Key requirement  能力需求', '', '•\t作為數據分析師或相關領域的工作經驗5年以上工作經驗，或相關領域碩士學歷']",台北市中正區,5年以上,專科,"月薪40,000~60,000元",www.104.com.tw/job/7a7n3?jobsource=jolist_a_relevance
TutorABC_麥奇數位股份有限公司,G0011_大數據分析師,"['界是你對未來的期許，請放膽加入我們。', '', '[Job Responsibilities]', '1.深入理解商業流程與邏輯，挖掘營運數據，提出洞見與經營策略，並規劃相對應報表', '2.藉由統計分析方法，建立營運預測模型，作為商業決策參考', '3.使用深度學習或是機器']",新北市板橋區,1年以上,大學,待遇面議,www.104.com.tw/job/337bp?jobsource=jolist_a_relevance
台北神策諮詢顧問有限公司,數據分析師,"['工作職掌：\r', '1.以幫助客戶發現業務問題、發揮數據價值為導向，能深入理解客戶業務需求與痛點，確定客戶業務問題與目標，並給予有效的數據解決方案；\r', '2.從客戶業務需求場景出發，指導/協助客戶完成多維度指標體系的梳理和建設，並能完成數據採集、管理、']",台北市中山區,經歷不拘,大學,待遇面議,www.104.com.tw/job/6sxgk?jobsource=jolist_a_relevance
歌倫比亞美語顧問_康仕坦實業股份有限公司,數據分析師,"['1.深入了解運營，分析內外部資料，提供分析報告，協同各個部門，執行數據驅動決策', '2.整理與收集數據，規劃部門運營所需報表', '3.協助公司數據分析與工具的教育訓練和推廣', '']",台中市南區,2年以上,大學,待遇面議,www.104.com.tw/job/78bew?jobsource=jolist_a_relevance
紅石資訊有限公司,大數據分析師,"['職責描述：', '1. 負責採用統計, ML/DL 等相關演算法，對結構化或非結構化資料進行分析,從巨量且多元的數據中萃取可用之資訊。', '2. 數據清理、數據標籤定義與採集', '3. 資料視覺化呈現', '4. 對於各系統間數據的串接與整合分析、建模分析(']",台北市內湖區,1年以上,碩士,"月薪60,000元以上",www.104.com.tw/job/778eu?jobsource=jolist_a_relevance
網際威信股份有限公司,AI大數據分析師/主管,"['工作內容：', '1. 數據資料清洗與統計分析。\xa0', '2. 運用演算法建立模型及優化，機器深度學習\xa0', '3. Python ', '4. 有Big Data分析經驗者(Distributed Systems/Big Data Processing/Cloud']",台北市內湖區,1年以上,大學,"年薪500,000~1,300,000元",www.104.com.tw/job/6nnhm?jobsource=jolist_a_relevance
大數據股份有限公司,數據分析師,"['茫茫網海中，誰是KOL關鍵領袖，引領著話題風向？\r', 'FB數據中，哪個分眾才是主要品牌的目標族群？需要加強互動？\r', '有一種人具有這樣的洞察力\r', '他就是數據分析師\r', '\r', '如果你喜歡行銷、經營策略研究\r', '常常上網瞭解時事\r', '覺得把數字變成各種數據圖表是']",台北市中山區,經歷不拘,大學,"月薪35,000~50,000元",www.104.com.tw/job/5944x?jobsource=jolist_a_relevance
集邦科技股份有限公司_TRENDFORCE,數據分析師,"['1.協助分析師資料收集&整理\r', '2.數據資料庫建立以及管理\r', '3.研究報告資料美編/排版、校對以及寄送\r', '4.總體經濟、市場與財務報表資料收集\r', '5.跨部門業務支援、協調\r', '6.部門基本庶務協助']",台北市中山區,經歷不拘,專科,"月薪28,000~35,000元",www.104.com.tw/job/6z1o9?jobsource=jolist_a_relevance
艾維克科技股份有限公司,數據分析師,"['1.搜集追蹤相關產業數據,維持數據來源品質及穩定性\r', '2.執行數據分析專案與任務,提供報表或簡報產出\r', '3.利用與建立分析數據指標並發掘問題,提供各單位營運上分析觀察與建議\r', '4.跨部門溝通協調']",新北市中和區,經歷不拘,大學,待遇面議,www.104.com.tw/job/69nkz?jobsource=jolist_a_relevance
SoundOn Podcast_聲浪媒體科技股份有限公司,數據分析師 Data Analyst,"['1.分析用戶的行為模式、預測將來的趨勢，以給予產品團隊建議、使產品成長', '2. 透過數據找到問題、提供分析結果，並做消費者行為分析', '3. 設計以及評估任何產品分析方案，例如A/B testing的執行方案及驗證方向', '4. 數據探勘及數據研究報告撰寫']",台北市大安區,3年以上,專科,"月薪40,000~75,000元",www.104.com.tw/job/7853c?jobsource=jolist_a_relevance
新代科技股份有限公司,25資料數據分析師,"['1. 數據處理、分析', '2. 經管報表、預警機制設計', '3. 供應鏈管理優化', '4. SAP應用優化']",新竹市,經歷不拘,碩士,待遇面議,www.104.com.tw/job/6ikb5?jobsource=jolist_a_relevance
烽泰科技有限公司,資深金融數據分析師,"['*本職務預計會以幹部職的領域學習並受公司栽培，培訓期約3~6個月*', '', '1. 團隊帶領(須具備五年以上相關領域工作經驗，團隊帶領一至兩年以上)。', '2. 採集⾦融相關數據，編制統計報告。', '3. 分析業務需求、整理數據報告。', '4. 熟悉數據分析⼯具、懂']",台北市大同區,5年以上,大學,待遇面議,www.104.com.tw/job/71hgy?jobsource=jolist_a_relevance
復煜生物科技有限公司,商業資料分析師/數據分析師,"['', ' 2. 定義數據收集與後續分析需求，建構所需要的資料處理流程並協助公司進行數據處理(清洗、ETL、標籤、特徵提取等)。', ' 3. 依據數據處理與分析需求，建構數據模型，視實際情況調整並優化模型與流程。', ' 4. 進行各種數據追蹤和分析，針對商業問題提供']",台南市東區,3年以上,大學,待遇面議,www.104.com.tw/job/79ck3?jobsource=jolist_a_relevance
OB嚴選_橘熊科技股份有限公司,數據分析師-營運長室,"['1.數據相關專案規劃、管理與執行。', '2.因應公司戰略營運方針進行相關規劃及與跨部門溝通協調達成目標。', '3.以數據之規劃與管理進行電子商務運營及行銷專案整合，及跨境電商運營規劃與執行。', '4.用數據驅動的方式發展出貼近業務需求的分析模組，並將數據自動']",台北市南港區,3年以上,大學,待遇面議,www.104.com.tw/job/703rp?jobsource=jolist_a_relevance
影響力數據顧問股份有限公司,輿情大數據分析師,"['1.透過網路輿情大數據系統，研究輿情的趨勢變化。', '2.透過輿情系統，從數據中解讀企業、組織面臨的風險與機會。', '3.熟悉主要網路新聞、論壇、社群、影音平台，平時是社群媒介重度涉入者。', '4.具備公共政策議題研究的基礎知識。', '5.邏輯清楚，思考細膩，良']",台北市松山區,2年以上,大學,"月薪35,000~55,000元",www.104.com.tw/job/6yaz0?jobsource=jolist_b_relevance
聽儷科技股份有限公司,Data Analyst (數據分析師),"['  能力需求', '', '•\t作為數據分析師或相關領域的工作經驗1年以上工作經驗，或相關領域碩士學歷', '•\t具備優秀的溝通意識，良好的現場表達能力、邏輯清晰', '•\t具備溝通能力，能把事情表達清楚，樂意與人共事與溝通', '•\t熟悉數據平台的整體搭建，熟練使用 SQL /']",台北市中正區,1年以上,專科,"月薪33,000~48,000元",www.104.com.tw/job/7a7nd?jobsource=jolist_b_relevance
凡谷興業有限公司,數據分析師,"['1.發現問題、發揮數據價值為導向，能深入理解內部需求與痛點，確定問題與目標，並給予有效的數據解決方案。', '2.協助內部完成多維度指標體系的梳理和建設，並能完成數據管理、分析與應用全流程工作，必要時需要跨部門合作。', '3.對於數據與分析具有熱情。調動公']",台中市南屯區,經歷不拘,大學,待遇面議,www.104.com.tw/job/79nah?jobsource=jolist_b_relevance
奕特資訊有限公司,大數據分析師,"['1. 設計數據可視化的方法，讓客戶能夠更輕易的理解數據所帶來的含意。同時編寫用戶使用手冊，解釋您的設計理念，應用場景與使用方法。', '2. 協助部門內的工程師理解統計公式並完成交辦的統計型計算任務。', '3. 統籌並執行統計量相關的測試工作，確保在不同場']",台北市內湖區,經歷不拘,大學,待遇面議,www.104.com.tw/job/76f27?jobsource=jolist_b_relevance
台盈資訊科技有限公司,大數據分析師,"['1. 分析財務資料、協助訂立指標來評估營運成效。', '2. 協助各部門建立報表、儀表板以協助追蹤 KPI 表現。', '3. 數據視覺化報表產出，製作相關簡報資料，提供給業主。', '4. 設計建立預測工具。', '5. Tableau或Tableau Prep使用能']",台北市松山區,3年以上,專科,待遇面議,www.104.com.tw/job/77ynk?jobsource=jolist_b_relevance
新加坡商晚安有限公司台灣分公司,資料數據分析師 Data analyst,"['Goodnight 2015 年底正式上線，Goodnight 致力於創造一個富有驚喜的交友體驗，希望專注在「聲音」而不是「照片」來認識新朋友。使用者能根據自己的喜好來配對，並和配對者進行語音聊天，一次7分鐘。', '', '在短短四年內，Goodnight 已成功打入五個市場，曾在許多國家榮登 Google Play 交友榜首，至今已有註冊用戶800萬人。以規模而言，目前已經是亞洲最大的聲音交友軟體。', '', 'Goodnight 深受年輕用戶的青睞。Goodnight 每天能產生40萬通配對電話，最高在線人數也曾超過1萬人，每三分鐘就能找到一個真人一對一電話聊天。', '', '團隊成員就像好朋友一樣，聰明工作、玩到壞掉，是我們的宗旨，來 Goodnight，你可以有機會執行所有你想嘗試的Idea，無論是產品端、行銷端，甚至還可以跨領域學習、跨國家操作，跟著大家一起指數成長，絕對讓你感受到幸福又充滿挑戰的工作環境。', '', '【職位需求】', '• 兩年以上資料分析經驗', '• 熟悉下列任一種分析語言 R/Python/SAS', '• 熟悉SQL 語言', '• 熟悉資料分析/建模流程', '', '【工作描述】', '• 與產品、設計團隊合作，分析產品功能有效性。', '• 與主管報告產品關鍵指標。', '• Data Team ETL 維運。', '•Data Team Server監控。', '', '【加分項目】', '• 有實際使用過AWS EC2/Google BigQuery。', '• 統計、機器學習、深度學習理論與應用結合。']",台北市中山區,2年以上,大學,"月薪40,000元以上",www.104.com.tw/job/750o4?jobsource=jolist_b_relevance
聽儷科技股份有限公司,Senior Data Analyst (資深數據分析師),"['論並協助其提出改善方案。', '•\t評估資料分析系統的更改和更新，在新報告和儀表板上對內部員工進行教育訓練。', '•\t其他主管交代事項', '', 'Key requirement  能力需求', '', '•\t作為數據分析師或相關領域的工作經驗5年以上工作經驗，或相關領域碩士學歷']",台北市中正區,5年以上,專科,"月薪40,000~60,000元",www.104.com.tw/job/7a7n3?jobsource=jolist_b_relevance
TutorABC_麥奇數位股份有限公司,G0011_大數據分析師,"['界是你對未來的期許，請放膽加入我們。', '', '[Job Responsibilities]', '1.深入理解商業流程與邏輯，挖掘營運數據，提出洞見與經營策略，並規劃相對應報表', '2.藉由統計分析方法，建立營運預測模型，作為商業決策參考', '3.使用深度學習或是機器']",新北市板橋區,1年以上,大學,待遇面議,www.104.com.tw/job/337bp?jobsource=jolist_b_relevance
台北神策諮詢顧問有限公司,數據分析師,"['工作職掌：\r', '1.以幫助客戶發現業務問題、發揮數據價值為導向，能深入理解客戶業務需求與痛點，確定客戶業務問題與目標，並給予有效的數據解決方案；\r', '2.從客戶業務需求場景出發，指導/協助客戶完成多維度指標體系的梳理和建設，並能完成數據採集、管理、']",台北市中山區,經歷不拘,大學,待遇面議,www.104.com.tw/job/6sxgk?jobsource=jolist_b_relevance
